"PÉRIODE DE RÉFÉRENCE";"GÉO";"DGUID";"Titre scolaire";"Domaine d'études";"Genre";"Groupe d'âge";"Statut de l’étudiant au Canada";"Caractéristiques après l’obtention du titre scolaire";"Statistiques des diplômés";"UNITÉ DE MESURE";"IDENTIFICATEUR D'UNITÉ DE MESURE";"FACTEUR SCALAIRE";"IDENTIFICATEUR SCALAIRE";"VECTEUR";"COORDONNÉES";"VALEUR";"STATUS";"SYMBOLE";"TERMINÉ";"DÉCIMALES"
"2016";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Agriculture, ressources naturelles et conservation [9]";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664020929";"1.3.47.3.1.1.4.1";"740";"";"";"";"0"
"2017";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Agriculture, ressources naturelles et conservation [9]";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664020929";"1.3.47.3.1.1.4.1";"720";"";"";"";"0"
"2018";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Agriculture, ressources naturelles et conservation [9]";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664020929";"1.3.47.3.1.1.4.1";"710";"";"";"";"0"
"2010";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Agriculture, ressources naturelles et conservation [9]";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664020930";"1.3.47.3.1.1.4.2";"46200";"";"";"";"0"
"2011";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Agriculture, ressources naturelles et conservation [9]";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664020930";"1.3.47.3.1.1.4.2";"42200";"";"";"";"0"
"2012";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Agriculture, ressources naturelles et conservation [9]";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664020930";"1.3.47.3.1.1.4.2";"41500";"";"";"";"0"
"2013";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Agriculture, ressources naturelles et conservation [9]";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664020930";"1.3.47.3.1.1.4.2";"46700";"";"";"";"0"
"2014";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Agriculture, ressources naturelles et conservation [9]";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664020930";"1.3.47.3.1.1.4.2";"39400";"";"";"";"0"
"2015";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Agriculture, ressources naturelles et conservation [9]";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664020930";"1.3.47.3.1.1.4.2";"36100";"";"";"";"0"
"2016";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Agriculture, ressources naturelles et conservation [9]";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664020930";"1.3.47.3.1.1.4.2";"37500";"";"";"";"0"
"2017";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Agriculture, ressources naturelles et conservation [9]";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664020930";"1.3.47.3.1.1.4.2";"39100";"";"";"";"0"
"2018";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Agriculture, ressources naturelles et conservation [9]";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664020930";"1.3.47.3.1.1.4.2";"39000";"";"";"";"0"
"2010";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Santé et domaines connexes [10]";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664021118";"1.3.50.3.1.1.4.1";"5080";"";"";"";"0"
"2011";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Santé et domaines connexes [10]";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664021118";"1.3.50.3.1.1.4.1";"6400";"";"";"";"0"
"2012";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Santé et domaines connexes [10]";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664021118";"1.3.50.3.1.1.4.1";"6370";"";"";"";"0"
"2013";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Santé et domaines connexes [10]";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664021118";"1.3.50.3.1.1.4.1";"5690";"";"";"";"0"
"2014";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Santé et domaines connexes [10]";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664021118";"1.3.50.3.1.1.4.1";"9920";"";"";"";"0"
"2015";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Santé et domaines connexes [10]";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664021118";"1.3.50.3.1.1.4.1";"9760";"";"";"";"0"
"2016";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Santé et domaines connexes [10]";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664021118";"1.3.50.3.1.1.4.1";"9330";"";"";"";"0"
"2017";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Santé et domaines connexes [10]";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664021118";"1.3.50.3.1.1.4.1";"9390";"";"";"";"0"
"2018";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Santé et domaines connexes [10]";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664021118";"1.3.50.3.1.1.4.1";"9100";"";"";"";"0"
"2010";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Santé et domaines connexes [10]";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664021119";"1.3.50.3.1.1.4.2";"48100";"";"";"";"0"
"2011";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Santé et domaines connexes [10]";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664021119";"1.3.50.3.1.1.4.2";"47600";"";"";"";"0"
"2012";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Santé et domaines connexes [10]";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664021119";"1.3.50.3.1.1.4.2";"46700";"";"";"";"0"
"2013";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Santé et domaines connexes [10]";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664021119";"1.3.50.3.1.1.4.2";"46200";"";"";"";"0"
"2014";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Santé et domaines connexes [10]";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664021119";"1.3.50.3.1.1.4.2";"46000";"";"";"";"0"
"2015";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Santé et domaines connexes [10]";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664021119";"1.3.50.3.1.1.4.2";"47500";"";"";"";"0"
"2016";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Santé et domaines connexes [10]";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664021119";"1.3.50.3.1.1.4.2";"48600";"";"";"";"0"
"2017";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Santé et domaines connexes [10]";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664021119";"1.3.50.3.1.1.4.2";"47500";"";"";"";"0"
"2018";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Santé et domaines connexes [10]";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664021119";"1.3.50.3.1.1.4.2";"48100";"";"";"";"0"
"2010";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Services personnels, de protection et de transprt [11]";"Femme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664021307";"1.3.56.3.1.1.4.1";"990";"";"";"";"0"
"2011";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Services personnels, de protection et de transprt [11]";"Femme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664021307";"1.3.56.3.1.1.4.1";"1150";"";"";"";"0"
"2012";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Services personnels, de protection et de transprt [11]";"Femme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664021307";"1.3.56.3.1.1.4.1";"1270";"";"";"";"0"
"2013";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Services personnels, de protection et de transprt [11]";"Femme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664021307";"1.3.56.3.1.1.4.1";"1100";"";"";"";"0"
"2014";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Services personnels, de protection et de transprt [11]";"Femme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664021307";"1.3.56.3.1.1.4.1";"2260";"";"";"";"0"
"2015";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Services personnels, de protection et de transprt [11]";"Femme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664021307";"1.3.56.3.1.1.4.1";"2060";"";"";"";"0"
"2016";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Services personnels, de protection et de transprt [11]";"Femme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664021307";"1.3.56.3.1.1.4.1";"1780";"";"";"";"0"
"2017";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Services personnels, de protection et de transprt [11]";"Femme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664021307";"1.3.56.3.1.1.4.1";"1790";"";"";"";"0"
"2018";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Services personnels, de protection et de transprt [11]";"Femme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664021307";"1.3.56.3.1.1.4.1";"1740";"";"";"";"0"
"2010";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Services personnels, de protection et de transprt [11]";"Femme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664021308";"1.3.56.3.1.1.4.2";"33300";"";"";"";"0"
"2011";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Services personnels, de protection et de transprt [11]";"Femme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664021308";"1.3.56.3.1.1.4.2";"34200";"";"";"";"0"
"2012";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Services personnels, de protection et de transprt [11]";"Femme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664021308";"1.3.56.3.1.1.4.2";"33100";"";"";"";"0"
"2013";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Services personnels, de protection et de transprt [11]";"Femme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664021308";"1.3.56.3.1.1.4.2";"33400";"";"";"";"0"
"2014";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Services personnels, de protection et de transprt [11]";"Femme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664021308";"1.3.56.3.1.1.4.2";"35400";"";"";"";"0"
"2015";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Services personnels, de protection et de transprt [11]";"Femme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664021308";"1.3.56.3.1.1.4.2";"30400";"";"";"";"0"
"2016";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Services personnels, de protection et de transprt [11]";"Femme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664021308";"1.3.56.3.1.1.4.2";"35800";"";"";"";"0"
"2017";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Services personnels, de protection et de transprt [11]";"Femme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664021308";"1.3.56.3.1.1.4.2";"37900";"";"";"";"0"
"2018";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Services personnels, de protection et de transprt [11]";"Femme";"15 à 64 ans" ;"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664021308";"1.3.56.3.1.1.4.2";"38500";"";"";"";"0"
"2014";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Autres programmes d’enseignement [12]";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664021484";"1.3.62.3.1.1.4.1";"0";"";"";"";"0"
"2015";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Autres programmes d’enseignement [12]";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664021484";"1.3.62.3.1.1.4.1";"0";"";"";"";"0"
"2014";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Autres programmes d’enseignement [12]";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664021485";"1.3.62.3.1.1.4.2";"";"x";"";"";"0"
"2015";"Canada";"2021A11124";"Certificat de formation technique ou professionnelle";"Autres programmes d’enseignement [12]";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664021485";"1.3.62.3.1.1.4.2";"";"x";"";"";"0"
"2010";"Canada";"2021A11124";"Diplôme de formation technique ou professionnelle";"Total, domaine d'études";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664021664";"1.4.1.3.1.1.4.1";"19020";"";"";"";"0"
"2011";"Canada";"2021A11124";"Diplôme de formation technique ou professionnelle";"Total, domaine d'études";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664021664";"1.4.1.3.1.1.4.1";"21460";"";"";"";"0"
"2012";"Canada";"2021A11124";"Diplôme de formation technique ou professionnelle";"Total, domaine d'études";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664021664";"1.4.1.3.1.1.4.1";"21890";"";"";"";"0"
"2013";"Canada";"2021A11124";"Diplôme de formation technique ou professionnelle";"Total, domaine d'études";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664021664";"1.4.1.3.1.1.4.1";"22830";"";"";"";"0"
"2014";"Canada";"2021A11124";"Diplôme de formation technique ou professionnelle";"Total, domaine d'études";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664021664";"1.4.1.3.1.1.4.1";"49010";"";"";"";"0"
"2015";"Canada";"2021A11124";"Diplôme de formation technique ou professionnelle";"Total, domaine d'études";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664021664";"1.4.1.3.1.1.4.1";"50600";"";"";"";"0"
"2016";"Canada";"2021A11124";"Diplôme de formation technique ou professionnelle";"Total, domaine d'études";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664021664";"1.4.1.3.1.1.4.1";"52650";"";"";"";"0"
"2017";"Canada";"2021A11124";"Diplôme de formation technique ou professionnelle";"Total, domaine d'études";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664021664";"1.4.1.3.1.1.4.1";"53070";"";"";"";"0"
"2018";"Canada";"2021A11124";"Diplôme de formation technique ou professionnelle";"Total, domaine d'études";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664021664";"1.4.1.3.1.1.4.1";"53800";"";"";"";"0"
"2010";"Canada";"2021A11124";"Diplôme de formation technique ou professionnelle";"Total, domaine d'études";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664021665";"1.4.1.3.1.1.4.2";"49900";"";"";"";"0"
"2011";"Canada";"2021A11124";"Diplôme de formation technique ou professionnelle";"Total, domaine d'études";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664021665";"1.4.1.3.1.1.4.2";"49700";"";"";"";"0"
"2012";"Canada";"2021A11124";"Diplôme de formation technique ou professionnelle";"Total, domaine d'études";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664021665";"1.4.1.3.1.1.4.2";"50000";"";"";"";"0"
"2013";"Canada";"2021A11124";"Diplôme de formation technique ou professionnelle";"Total, domaine d'études";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664021665";"1.4.1.3.1.1.4.2";"50500";"";"";"";"0"
"2014";"Canada";"2021A11124";"Diplôme de formation technique ou professionnelle";"Total, domaine d'études";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664021665";"1.4.1.3.1.1.4.2";"48400";"";"";"";"0"
"2015";"Canada";"2021A11124";"Diplôme de formation technique ou professionnelle";"Total, domaine d'études";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664021665";"1.4.1.3.1.1.4.2";"47300";"";"";"";"0"
"2016";"Canada";"2021A11124";"Diplôme de formation technique ou professionnelle";"Total, domaine d'études";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664021665";"1.4.1.3.1.1.4.2";"49500";"";"";"";"0"
"2017";"Canada";"2021A11124";"Diplôme de formation technique ou professionnelle";"Total, domaine d'études";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664021665";"1.4.1.3.1.1.4.2";"50000";"";"";"";"0"
"2018";"Canada";"2021A11124";"Diplôme de formation technique ou professionnelle";"Total, domaine d'études";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664021665";"1.4.1.3.1.1.4.2";"50800";"";"";"";"0"
"2010";"Canada";"2021A11124";"Diplôme de formation technique ou professionnelle";"Éducation [1]";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664028728";"1.4.2.3.1.1.4.1";"1130";"";"";"";"0"
"2011";"Canada";"2021A11124";"Diplôme de formation technique ou professionnelle";"Éducation [1]";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664028728";"1.4.2.3.1.1.4.1";"1300";"";"";"";"0"
"2012";"Canada";"2021A11124";"Diplôme de formation technique ou professionnelle";"Éducation [1]";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664028728";"1.4.2.3.1.1.4.1";"1310";"";"";"";"0"
"2013";"Canada";"2021A11124";"Diplôme de formation technique ou professionnelle";"Éducation [1]";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664028728";"1.4.2.3.1.1.4.1";"1420";"";"";"";"0"
"2014";"Canada";"2021A11124";"Diplôme de formation technique ou professionnelle";"Éducation [1]";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664028728";"1.4.2.3.1.1.4.1";"1730";"";"";"";"0"
"2015";"Canada";"2021A11124";"Diplôme de formation technique ou professionnelle";"Éducation [1]";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664028728";"1.4.2.3.1.1.4.1";"1800";"";"";"";"0"
"2016";"Canada";"2021A11124";"Diplôme de formation technique ou professionnelle";"Éducation [1]";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664028728";"1.4.2.3.1.1.4.1";"1760";"";"";"";"0"
"2017";"Canada";"2021A11124";"Diplôme de formation technique ou professionnelle";"Éducation [1]";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664028728";"1.4.2.3.1.1.4.1";"1800";"";"";"";"0"
"2018";"Canada";"2021A11124";"Diplôme de formation technique ou professionnelle";"Éducation [1]";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Nombre de diplômés";"Nombre";"223";"unités";"0";"v1664028728";"1.4.2.3.1.1.4.1";"1680";"";"";"";"0"
"2010";"Canada";"2021A11124";"Diplôme de formation technique ou professionnelle";"Éducation [1]";"Femme";"15 à 64 ans";"Étudiants canadiens et internationaux";"Diplômés déclarant un revenu d'emploi";"Revenu d'emploi médian";"Dollars constants de 2023";"449";"unités";"0";"v1664028729";"1.4.2.3.1.1.4.2";"43100";"";"";"";"0"
